subject,block,duration_ms
28,postquiz,33039
29,instructions,133822
29,prequiz,25423
29,0,827507
29,1,431395
29,2,183990
29,3,334355
29,4,798369
29,5,178914
29,6,421776
29,7,442813
29,8,269243
29,9,241595
29,postquiz,115171
30,instructions,194132
30,prequiz,118057
30,0,897229
30,1,1062169
30,2,753207
30,3,571254
30,4,249539
30,5,595955
30,6,97516
30,7,462100
30,8,167226
30,9,131112
30,postquiz,117758
31,instructions,497089
31,prequiz,202848
31,0,1100658
31,1,557643
31,2,365018
31,3,315678
31,4,857276
31,5,403963
31,6,138031
31,7,231518
31,8,474230
31,9,356967
31,postquiz,52858
32,instructions,272115
32,prequiz,10550
32,0,339700
32,1,357446
32,2,281848
32,3,267109
32,4,138354
32,5,316943
32,6,129195
32,7,123397
32,8,149411
32,9,102134
32,postquiz,29770
33,instructions,5804
33,prequiz,11463
33,0,309232
33,1,191326
33,2,166485
33,3,132871
33,4,129333
33,5,134353
33,6,132682
33,7,324761
33,8,327435
33,9,219983
33,postquiz,57245
34,instructions,245390
34,prequiz,19093
34,0,327027
34,1,168593
34,2,291698
34,3,142396
34,4,213896
34,5,254599
34,6,209106
34,7,75423
34,8,112152
34,9,223496
34,postquiz,179236
35,instructions,383137
35,prequiz,63977
35,0,605052
35,1,1008017
35,2,689601
35,3,101202
35,4,317479
35,5,303509
35,6,305105
35,7,376729
35,8,332371
35,9,578242
35,postquiz,106102
36,instructions,179027
36,prequiz,19461
36,0,269644
36,1,258246
36,2,511402
36,3,532268
36,4,454907
36,5,111562
36,6,188116
36,7,85141
36,8,129890
36,9,129398
36,postquiz,49033
37,instructions,1274028
37,prequiz,1026726
37,0,457196
37,1,1457624
37,2,1219021
37,3,133669
37,4,131384
37,5,154536
37,6,157971
37,7,92779
37,8,193837
37,9,65172
37,postquiz,85833
38,instructions,445682
38,prequiz,261032
38,0,3263576
38,1,533900
38,2,299356
38,3,160192
38,4,95817
38,5,102346
38,6,76688
38,7,70468
38,8,64583
38,9,63187
38,postquiz,32397
39,instructions,57291
39,prequiz,7673
39,0,237808
39,1,166465
39,2,306692
39,3,124339
39,4,175585
39,5,274966
39,6,214951
39,7,79333
39,8,123499
39,9,81086
39,postquiz,29962
40,instructions,2982
40,prequiz,5396
40,0,59190
40,1,59270
40,2,85944
40,3,70105
40,4,137602
40,5,116014
40,6,134744
40,7,81996
40,8,142435
40,9,89425
40,postquiz,19650
41,instructions,912709
41,prequiz,846240
41,0,135661
41,1,104519
41,2,75877
41,3,146346
41,4,124508
41,5,99976
41,6,153513
41,7,94544
41,8,179225
41,9,141377
41,postquiz,130254
42,instructions,639972
42,prequiz,588287
42,0,137210
42,1,75662
42,2,108864
42,3,70923
42,4,55758
42,5,59183
42,6,54841
42,7,66838
42,8,58398
42,9,52245
42,postquiz,53532
43,instructions,324820
43,prequiz,19641
43,0,521857
43,1,275404
43,2,172372
43,3,447675
43,4,251525
43,5,120043
43,6,550461
43,7,929142
43,8,72426
43,9,533289
43,postquiz,36013
44,instructions,47561
44,prequiz,13898
44,0,240422
44,1,147731
44,2,576658
44,3,977274
44,4,225758
44,5,434200
44,6,300950
44,7,561184
44,8,769990
44,9,144870
44,postquiz,97787
45,instructions,544894
45,prequiz,6750
45,0,1057295
45,1,238998
45,2,453605
45,3,328902
45,4,145663
45,5,173279
45,6,59982
45,7,204711
45,8,94568
45,9,161377
45,postquiz,38463
46,instructions,529065
46,prequiz,366992
46,0,188705
46,1,348914
46,2,199318
46,3,110122
46,4,541747
46,5,83789
46,6,273442
46,7,92903
46,8,403721
46,9,371728
46,postquiz,59549
47,instructions,55785
47,prequiz,12786
47,0,701125
47,1,758373
47,2,646405
47,3,459201
47,4,992693
47,5,444722
47,6,666812
47,7,526786
47,8,855957
47,9,613219
47,postquiz,112239
48,instructions,121074
48,prequiz,14275
48,0,82992
48,1,162466
48,2,246622
48,3,424840
48,4,94360
48,5,458473
48,6,174355
48,7,327072
48,8,289786
48,9,133558
48,postquiz,112382
49,instructions,24951
49,prequiz,28506
49,0,331323
49,1,228500
49,2,131102
49,3,198241
49,4,228540
49,5,133741
49,6,118497
49,7,92077
49,8,97388
49,9,97732
49,postquiz,163217
50,instructions,60050
50,prequiz,25588
50,0,1201174
50,1,515022
50,2,211632
50,3,573141
50,4,1080771
50,5,224903
50,6,618089
50,7,127259
50,8,87174
50,9,293761
50,postquiz,143064
51,instructions,350238
51,prequiz,244637
51,0,146627
51,1,780122
51,2,366814
51,3,571551
51,4,368182
51,5,525940
51,6,203718
51,7,221454
51,8,196187
51,9,397175
51,postquiz,86984
52,instructions,94646
52,prequiz,54988
52,0,370080
52,1,652537
52,2,730907
52,3,585498
52,4,516077
52,5,283728
52,6,314002
52,7,145912
52,8,99678
52,9,287374
52,postquiz,123629
53,instructions,227321
53,prequiz,5587
53,0,138892
53,1,206201
53,2,231989
53,3,216083
53,4,211556
53,5,171104
53,6,252851
53,7,143427
53,8,420463
53,9,177265
53,postquiz,18509
54,instructions,144129
54,prequiz,211771
54,0,3299123
54,1,627660
54,2,399254
54,3,573086
54,4,282955
54,5,334937
54,6,869059
54,7,294479
54,8,318545
54,9,250854
54,postquiz,89501
55,instructions,93910
55,prequiz,36526
55,0,156488
55,1,80592
55,2,155798
55,3,159615
55,4,165055
55,5,130403
55,6,347624
55,7,34388
55,8,136912
55,9,288379
55,postquiz,30024
56,instructions,1038000
56,prequiz,950003
56,0,139572
56,1,94504
56,2,88073
56,3,81027
56,4,80242
56,5,98407
56,6,93919
56,7,85149
56,8,95391
56,9,75266
56,postquiz,29451
57,instructions,22933
57,prequiz,19925
57,0,284509
57,1,208264
57,2,239990
57,3,94445
57,4,126877
57,5,465529
57,6,237070
57,7,282262
57,8,217644
57,9,184991
57,postquiz,53237
58,instructions,114787
